date,rank,code,name,close,change_pct,value_traded
2026-06-22,8,4062,イビデン,26620.0,8.39,273300000000
2026-06-22,9,8035,東エレク,77820.0,3.26,219100000000
2026-06-22,10,6920,レーザーテク,57460.0,4.28,200500000000
2026-06-22,11,6857,アドテスト,32270.0,1.67,177200000000
2026-06-22,12,6146,ディスコ,88750.0,4.53,111000000000
2026-06-22,13,5706,三井金属,53050.0,8.66,88600000000
2026-06-22,14,8306,三菱ＵＦＪ,3330.0,1.59,76400000000
2026-06-22,15,5802,住友電,13515.0,0.22,72600000000
2026-06-22,16,8316,三井住友ＦＧ,6635.0,2.36,71000000000
2026-06-22,17,6723,ルネサス,5041.0,6.49,70400000000
2026-06-22,18,6954,ファナック,7963.0,6.56,69500000000
2026-06-22,19,6506,安川電,7695.0,7.95,57200000000
2026-06-22,20,6762,ＴＤＫ,4048.0,3.56,54600000000
2026-06-22,21,6752,パナＨＤ,4379.0,-0.91,51100000000
2026-06-22,22,7203,トヨタ,2746.0,-1.08,49900000000
2026-06-22,23,7974,任天堂,6999.0,-1.09,47300000000
2026-06-22,24,8411,みずほＦＧ,8031.0,1.86,46300000000
2026-06-22,25,6758,ソニーＧ,3189.0,1.56,46200000000
2026-06-22,26,7011,三菱重,3909.0,-0.2,45700000000
2026-06-22,27,4004,レゾナック,19325.0,5.08,44300000000
2026-06-22,28,4063,信越化,7330.0,0.27,43800000000
2026-06-22,29,6501,日立,4855.0,1.91,41000000000
2026-06-22,30,9983,ファストリ,81970.0,-1.36,40000000000
2026-06-22,31,2802,味の素,6117.0,5.65,39900000000
2026-06-22,32,7735,スクリン,17035.0,1.73,39600000000
2026-06-22,33,200A,野村日半導,6548.0,3.95,37500000000
2026-06-22,34,2914,ＪＴ,5954.0,-1.99,37000000000
2026-06-22,35,9501,東電ＨＤ,476.0,-7.39,34600000000
2026-06-22,36,6525,コクサイエレ,10345.0,1.77,34400000000
2026-06-22,37,3110,日東紡,20680.0,6.05,34300000000
2026-06-22,38,3086,Ｊフロント,2883.0,15.02,33700000000
2026-06-22,39,1357,日経Ｄインバ,2427.0,-3.31,31100000000
2026-06-22,40,6861,キーエンス,78260.0,0.72,29700000000
2026-06-22,41,6963,ローム,5682.0,3.14,29700000000
2026-06-22,42,6526,ソシオネクス,2711.0,3.08,29600000000
2026-06-22,43,3436,ＳＵＭＣＯ,4218.0,-0.85,29400000000
2026-06-22,44,9432,ＮＴＴ,144.0,-0.35,29400000000
2026-06-22,45,485A,ＰｏｗｅｒＸ,2200.0,22.22,28500000000
2026-06-22,46,5332,ＴＯＴＯ,9327.0,11.17,26500000000
2026-06-22,47,7013,ＩＨＩ,2828.0,0.37,25400000000
2026-06-22,48,1321,野村日経平均,75870.0,1.66,25300000000
2026-06-22,49,6098,リクルート,11005.0,1.29,23300000000
2026-06-22,50,8058,三菱商,4592.0,1.15,22800000000
2026-06-23,1,285A,キオクシア,92110.0,-15.26,4326100000000
2026-06-23,2,5803,フジクラ,6421.0,4.22,1011100000000
2026-06-23,3,6976,太陽誘電,16930.0,-3.53,381800000000
2026-06-23,4,1570,日経レバ,79340.0,-7.15,373300000000
2026-06-23,5,5801,古河電,49000.0,-15.52,334300000000
2026-06-23,6,9984,ＳＢＧ,6512.0,-10.1,326000000000
2026-06-23,7,8035,東エレク,73510.0,-5.51,310700000000
2026-06-23,8,5016,ＪＸ金属,4733.0,-11.28,291800000000
2026-06-23,9,6981,村田製,11205.0,-8.53,290000000000
2026-06-23,10,6857,アドテスト,31590.0,-1.8,286300000000
2026-06-23,11,4062,イビデン,24420.0,-7.59,245500000000
2026-06-23,12,6920,レーザーテク,51980.0,-9.58,219900000000
2026-06-23,13,6146,ディスコ,83140.0,-6.04,157000000000
2026-06-23,14,5706,三井金属,46240.0,-12.64,108200000000
2026-06-23,15,200A,野村日半導,5929.0,-9.47,100000000000
2026-06-23,16,6723,ルネサス,4777.0,-5.24,91400000000
2026-06-23,17,5802,住友電,12550.0,-7.04,89400000000
2026-06-23,18,8306,三菱ＵＦＪ,3267.0,-1.98,88200000000
2026-06-23,19,9983,ファストリ,82120.0,0.72,87000000000
2026-06-23,20,6762,ＴＤＫ,3963.0,-2.46,65200000000
2026-06-23,21,8316,三井住友ＦＧ,6489.0,-2.35,64500000000
2026-06-23,22,7011,三菱重,3723.0,-4.76,63300000000
2026-06-23,23,8411,みずほＦＧ,7868.0,-2.18,59300000000
2026-06-23,24,4004,レゾナック,18410.0,-4.73,58800000000
2026-06-23,25,6525,コクサイエレ,9326.0,-9.46,55600000000
2026-06-23,26,3436,ＳＵＭＣＯ,3843.0,-8.96,54800000000
2026-06-23,27,7974,任天堂,6928.0,-1.03,49100000000
2026-06-23,28,4063,信越化,7305.0,-0.03,48300000000
2026-06-23,29,7203,トヨタ,2712.0,-1.09,47200000000
2026-06-23,30,6954,ファナック,7467.0,-6.19,45900000000
2026-06-23,31,1321,野村日経平均,73200.0,-3.65,44600000000
2026-06-23,32,6501,日立,4762.0,-2.1,43700000000
2026-06-23,33,7735,スクリン,16140.0,-5.11,42700000000
2026-06-23,34,6752,パナＨＤ,4228.0,-3.76,42300000000
2026-06-23,35,6758,ソニーＧ,3177.0,-0.19,40300000000
2026-06-23,36,1357,日経Ｄインバ,2599.0,7.22,39900000000
2026-06-23,37,3110,日東紡,19350.0,-6.43,37200000000
2026-06-23,38,7013,ＩＨＩ,2713.0,-3.67,36200000000
2026-06-23,39,6506,安川電,7142.0,-6.7,35500000000
2026-06-23,40,3687,Ｆスターズ,2678.0,-5.54,34600000000
2026-06-23,41,485A,ＰｏｗｅｒＸ,2124.0,-3.45,32700000000
2026-06-23,42,8766,東京海上,7306.0,0.11,32300000000
2026-06-23,43,6613,ＱＤレーザ,2865.0,-5.13,31800000000
2026-06-23,44,6861,キーエンス,75520.0,-3.17,31100000000
2026-06-23,45,2802,味の素,5662.0,-8.08,30600000000
2026-06-23,46,6098,リクルート,11090.0,0.36,30400000000
2026-06-23,47,8058,三菱商,4566.0,-0.93,29500000000
2026-06-23,48,6503,三菱電,6090.0,-1.5,28400000000
2026-06-23,49,6526,ソシオネクス,2620.0,-3.32,27200000000
2026-06-23,50,9432,ＮＴＴ,144.0,-0.14,27200000000
2026-06-24,1,285A,キオクシア,93660.0,1.48,4615300000000
2026-06-24,2,5803,フジクラ,6383.0,-1.6,499900000000
2026-06-24,3,1570,日経レバ,77750.0,-1.76,357600000000
2026-06-24,4,6976,太陽誘電,16965.0,0.21,331100000000
2026-06-24,5,8035,東エレク,70410.0,-3.5,330100000000
2026-06-24,6,9984,ＳＢＧ,6592.0,1.21,279400000000
2026-06-24,7,4062,イビデン,24870.0,1.99,257700000000
2026-06-24,8,6981,村田製,11110.0,0.95,240500000000
2026-06-24,9,6857,アドテスト,31230.0,-0.64,215800000000
2026-06-24,10,5801,古河電,48030.0,-1.98,190500000000
2026-06-24,11,6920,レーザーテク,50880.0,-2.15,189300000000
2026-06-24,12,5016,ＪＸ金属,4632.0,-2.13,157300000000
2026-06-24,13,8136,サンリオ,929.0,-0.95,143900000000
2026-06-24,14,6146,ディスコ,79430.0,-4.15,135700000000
2026-06-24,15,200A,野村日半導,5875.0,-0.91,101100000000
2026-06-24,16,6752,パナＨＤ,4515.0,6.74,90000000000
2026-06-24,17,5706,三井金属,46030.0,-0.48,73600000000
2026-06-24,18,8306,三菱ＵＦＪ,3218.0,-1.5,71600000000
2026-06-24,19,6525,コクサイエレ,9143.0,-1.38,67000000000
2026-06-24,20,6723,ルネサス,4727.0,-0.57,66200000000
2026-06-24,21,5802,住友電,12325.0,-2.14,60900000000
2026-06-24,22,7974,任天堂,6845.0,-1.04,59800000000
2026-06-24,23,8316,三井住友ＦＧ,6368.0,-1.39,59100000000
2026-06-24,24,9983,ファストリ,81350.0,-1.0,57600000000
2026-06-24,25,1357,日経Ｄインバ,2647.0,1.77,52600000000
2026-06-24,26,7203,トヨタ,2695.0,-0.41,52400000000
2026-06-24,27,1321,野村日経平均,72470.0,-0.93,50200000000
2026-06-24,28,6762,ＴＤＫ,3817.0,-3.2,48000000000
2026-06-24,29,6758,ソニーＧ,3260.0,3.2,46200000000
2026-06-24,30,7011,三菱重,3753.0,0.29,45200000000
2026-06-24,31,4004,レゾナック,17790.0,-3.05,44300000000
2026-06-24,32,3436,ＳＵＭＣＯ,3710.0,-3.13,42900000000
2026-06-24,33,7735,スクリン,16175.0,0.15,41200000000
2026-06-24,34,8766,東京海上,7009.0,-3.83,40900000000
2026-06-24,35,8411,みずほＦＧ,7748.0,-0.92,40600000000
2026-06-24,36,6501,日立,4668.0,-1.73,38000000000
2026-06-24,37,4063,信越化,7093.0,-2.85,37300000000
2026-06-24,38,7013,ＩＨＩ,2792.0,2.74,37000000000
2026-06-24,39,6701,ＮＥＣ,3833.0,4.07,33600000000
2026-06-24,40,6506,安川電,7097.0,-0.82,32000000000
2026-06-24,41,3110,日東紡,20170.0,4.08,31600000000
2026-06-24,42,6954,ファナック,7364.0,-1.27,29700000000
2026-06-24,43,6861,キーエンス,76290.0,0.81,29100000000
2026-06-24,44,6526,ソシオネクス,2660.0,1.74,28400000000
2026-06-24,45,6098,リクルート,11200.0,0.76,28100000000
2026-06-24,46,6503,三菱電,5982.0,-2.0,27400000000
2026-06-24,47,1458,楽天Ｗブル,92700.0,-1.9,26900000000
2026-06-24,48,6963,ローム,5271.0,-3.18,26300000000
2026-06-24,49,9501,東電ＨＤ,471.0,0.15,26200000000
2026-06-24,50,8058,三菱商,4531.0,-1.31,24600000000
2026-06-25,1,285A,キオクシア,104650.0,13.14,2891400000000
2026-06-25,2,9984,ＳＢＧ,7153.0,8.43,548600000000
2026-06-25,3,6857,アドテスト,35860.0,14.94,409200000000
2026-06-25,4,1570,日経レバ,85050.0,9.52,385200000000
2026-06-25,5,8035,東エレク,75540.0,8.07,340100000000
2026-06-25,6,6976,太陽誘電,18840.0,11.31,312400000000
2026-06-25,7,5803,フジクラ,6420.0,1.69,311300000000
2026-06-25,8,6981,村田製,11900.0,7.89,231400000000
2026-06-25,9,4062,イビデン,26480.0,6.84,212100000000
2026-06-25,10,5016,ＪＸ金属,4942.0,6.67,198500000000
2026-06-25,11,6920,レーザーテク,53330.0,5.37,184500000000
2026-06-25,12,5801,古河電,49870.0,3.83,156700000000
2026-06-25,13,6146,ディスコ,85780.0,7.57,142900000000
2026-06-25,14,6723,ルネサス,4840.0,2.91,84500000000
2026-06-25,15,8136,サンリオ,1006.0,7.89,78800000000
2026-06-25,16,8306,三菱ＵＦＪ,3242.0,1.15,69200000000
2026-06-25,17,7974,任天堂,6867.0,0.13,66600000000
2026-06-25,18,6525,コクサイエレ,10190.0,11.63,66300000000
2026-06-25,19,6752,パナＨＤ,4612.0,3.55,63400000000
2026-06-25,20,9983,ファストリ,84410.0,3.52,62400000000
2026-06-25,21,7011,三菱重,3622.0,-3.23,61200000000
2026-06-25,22,200A,野村日半導,6393.0,8.89,61000000000
2026-06-25,23,7735,スクリン,17625.0,9.27,58600000000
2026-06-25,24,8316,三井住友ＦＧ,6371.0,0.24,52500000000
2026-06-25,25,5706,三井金属,46630.0,1.28,49800000000
2026-06-25,26,5802,住友電,12250.0,0.2,43800000000
2026-06-25,27,7203,トヨタ,2701.0,0.56,43700000000
2026-06-25,28,6758,ソニーＧ,3226.0,-0.74,42400000000
2026-06-25,29,4004,レゾナック,18015.0,1.49,41600000000
2026-06-25,30,6501,日立,4580.0,-2.37,41600000000
2026-06-25,31,1357,日経Ｄインバ,2403.0,-9.32,41500000000
2026-06-25,32,8411,みずほＦＧ,7752.0,0.39,39800000000
2026-06-25,33,1321,野村日経平均,75840.0,4.66,39300000000
2026-06-25,34,8766,東京海上,6869.0,-1.45,38400000000
2026-06-25,35,6762,ＴＤＫ,3921.0,2.75,36300000000
2026-06-25,36,8058,三菱商,4419.0,-2.45,36300000000
2026-06-25,37,6871,日本マイクロ,17700.0,10.69,33600000000
2026-06-25,38,6963,ローム,5650.0,7.05,32900000000
2026-06-25,39,3436,ＳＵＭＣＯ,3824.0,3.05,32500000000
2026-06-25,40,8031,三井物,4468.0,-2.79,31900000000
2026-06-25,41,4063,信越化,7190.0,1.27,30800000000
2026-06-25,42,6954,ファナック,7376.0,0.19,29300000000
2026-06-25,43,7013,ＩＨＩ,2732.0,-1.83,29000000000
2026-06-25,44,6861,キーエンス,77940.0,1.55,28100000000
2026-06-25,45,6098,リクルート,11255.0,0.27,27600000000
2026-06-25,46,8725,ＭＳ＆ＡＤ,4263.0,-4.2,26100000000
2026-06-25,47,9432,ＮＴＴ,144.0,-0.96,25700000000
2026-06-25,48,6503,三菱電,6017.0,0.59,25600000000
2026-06-25,49,3110,日東紡,20750.0,3.7,24700000000
2026-06-25,50,6526,ソシオネクス,2694.0,1.64,24300000000
2026-06-26,1,285A,キオクシア,91720.0,-11.68,4106500000000
2026-06-26,2,9984,ＳＢＧ,6200.0,-12.9,414100000000
2026-06-26,3,5803,フジクラ,6077.0,-5.58,374700000000
2026-06-26,4,1570,日経レバ,77170.0,-8.97,336400000000
2026-06-26,5,6857,アドテスト,32140.0,-10.47,324800000000
2026-06-26,6,6976,太陽誘電,16720.0,-11.16,321900000000
2026-06-26,7,8035,東エレク,72140.0,-4.25,290100000000
2026-06-26,8,4062,イビデン,24040.0,-8.84,246500000000
2026-06-26,9,6981,村田製,10825.0,-8.46,220700000000
2026-06-26,10,5016,ＪＸ金属,4553.0,-6.83,157600000000
2026-06-26,11,6723,ルネサス,4821.0,-0.47,147400000000
2026-06-26,12,6920,レーザーテク,49760.0,-6.43,136100000000
2026-06-26,13,5801,古河電,45180.0,-9.5,134100000000
2026-06-26,14,6146,ディスコ,78410.0,-8.79,124500000000
2026-06-26,15,200A,野村日半導,5868.0,-8.03,96300000000
2026-06-26,16,8136,サンリオ,1075.0,6.91,79200000000
2026-06-26,17,7974,任天堂,6576.0,-4.13,73700000000
